"","CND1_1","CND1_2","CND1_3","CND1_4","CND2_1","CND2_2","CND2_3","CND2_4","CTRL_1","CTRL_2","CTRL_3"
"Uhmk1",30.682523071087,38.4204678144309,29.3046909071999,29.0446245193815,34.4360848422833,30.5930930501326,13.5836990570141,15.1020522656508,18.6005017225004,32.0830122183362,23.2773735697616
"Sh2d1b2",0,0,0,0,0,0,0,0,0.118932317680081,0.0153299383327484,0
"Gm6345",0.200594606092007,0,0,0,0,0.310034893620193,0,0.196872643177594,0.32603037608338,0.189108523726275,0.845075500457931
"Sh2d1b1",0.251263317704877,0.0997265969417944,0.822995783019669,0.372972689270796,0.255329950462595,0.0832173023986899,0.582543884179628,0.0704574898652513,3.76295979938902,0.981343163493417,0.998047579937649
"Gm7694",0.0417021734572885,0.115861364777472,0,0.048146216343046,0,0.0322270103953618,0.104122102958096,0.0409284041816219,0.745573029939385,3.0272010755873,2.56500258183006
"Spata46",0,0,0,0,0,0,0,0,0,0.769864612990986,0
"Nos1ap",0.00118110224761515,0,0,0,0.00140025443421028,0,0.00294897938487974,0.00115918730758063,0.00383933763210232,0.0155886097575013,0.0208984004517933
"Olfml2b",0,0,0.0127053657887499,0,0.0210227754706774,0,0,0,0.0360262798602251,1.15348389564839,1.14297908257085
"Atf6",17.1663786364865,22.6679622443876,18.7520828968165,13.8473811694559,20.0310446182911,13.9522840052455,11.2475236710987,14.1249343715074,8.56056621961086,10.5327573800581,10.0462139013549
"Dusp12",11.0411481964146,17.528959595316,15.3779953446669,10.9262446877636,12.3885803623728,11.8410005306315,12.658577877855,12.6331162752872,14.9697565945311,14.7902399806501,13.3373867185285
"Fcrlb",0.299175761952359,0.332480628364776,0.171487699539951,0.13816240032963,0.0709374972620546,0.184959959467894,0.149396575315074,0.293624660092884,0.58350753144152,0.0564089810585872,0.0504153350246732
"Fcrla",0.101680299430931,0.188332602138281,0,0.273915793978852,0,0,0.126937827557127,0,56.6025772902492,3.13136354265296,1.42788036698078
"Fcgr2b",1.79714017598854,1.31394838701126,2.79217188598724,2.16220573585964,2.75856308367443,0.935620331469293,1.27528236057393,1.98659000828868,26.0270007407617,12.5373435433414,64.9838316969
"Fcgr4",1.06373236327743,0.869227394484373,3.81082458673762,2.23948737055237,1.03855845926955,0.411020710519263,1.87477406853603,0.798349255667415,19.1450828521314,14.6884054402622,7.80281702079341
"Fcgr3",1.18310296376079,2.12286779349649,2.29583799465844,2.10579697401111,0.818198722235173,0.647621936266509,1.13851111255859,1.06438832604169,19.2492366183939,20.8664944943886,18.5870555266757
"Cfap126",0.753789953114632,1.22766879683519,0.968439003294697,1.14035327983945,0.246525469412161,0.502173376543818,0.778785457895312,0.637761761711326,2.00671071900056,1.07819391565745,1.40164675803156
"Sdhc",32.6629449157761,48.2486287520777,41.0615696490919,35.0034845011918,29.3385975973115,31.5715559842668,35.2119327288661,32.5256049624338,38.0928569549621,28.732538661466,30.9228336904457
"Mpz",0.0976599267470972,0,0,0.0375836203199938,0.0385935385775996,0.050313724099016,0.0406395962313413,0.0638985872578334,0,0.184135804388367,0
"Pcp4l1",0,0,0,0,0,0,0,0,0.0239630271637761,0,0.074535020016918
"Nr1i3",0.403096231612103,0.139990543835407,0.288818707276288,0.232692408635969,0.179208855605431,0.194692886627951,0,0.197808460851641,0.122842550346924,0.142505576480005,0.0424546248150434
"Tomm40l",41.4619243122324,45.0632660027809,40.2826161842696,43.8948254923633,35.9852704630286,40.021457724167,38.2185910105855,46.9372653021844,51.071450336576,36.6294545891363,49.1281471858775
"Apoa2",0.255811070061527,0.710721222548988,1.83288795002259,0.886021094421575,1.21310609948292,0.395376323613685,0.638709792957128,0.75319375478125,1.87098653605315,1.92930626619083,1.07769432222803
"Fcer1g",1.48588132184674,3.34190191879418,2.94042024322774,4.00280451876981,1.34215993985344,1.2576331995797,3.62162042176755,1.18053772912522,60.7208112693563,54.2309519344971,51.5092026692135
"Ndufs2",75.7345566101022,75.5141298958299,81.0430427637821,78.224796340984,72.2284516071846,74.7913995560359,81.9476715492164,79.8456436082726,111.423720187971,85.689182260234,93.2978275222424
"Adamts4",0.0332001055986674,0,0,0.0383303634857919,0.0393603476537719,0.0256566998684421,0,0.0325840892251456,0,0.0625981234454596,0
"B4galt3",56.2846661596479,50.929791610669,43.7318303620766,55.3838041938192,47.8116895745588,35.4354450098364,33.3279333904259,46.1180685109018,76.0799501050414,70.1973488570057,77.0963060891511
"Ppox",84.5239744424768,78.5195835474854,84.7393086814448,77.1637936317029,82.1003457704986,54.424307919528,54.430315171065,85.3898817788234,79.1384943244024,79.4379882787915,88.4305736159004
"Usp21",52.2803880165829,53.4560616830305,50.4007510310794,51.0979368986921,49.9438810411641,46.2105804075675,44.0481608777133,49.1081829890978,94.8645145160004,57.2721121633346,60.7340543273542
"Ufc1",48.8178730081203,61.6902061722813,49.6462463120326,52.7858515896946,61.8588368843571,61.659616819085,63.1068404208519,55.1246447518174,56.991643525112,50.2289154016477,51.8800245560144
"Dedd",32.1276744633411,36.8047634538923,33.9118323802467,34.300646766752,35.1918519347304,31.964228415094,35.162942977173,30.7741934244807,40.3025662229881,33.4162663054461,29.9957136125535
"Nit1",36.5892544331595,44.2894968523216,46.0056555023108,45.3191844719404,41.4831786253602,35.653586615467,34.8129027666974,42.1423688317938,43.158500437529,42.0292765644214,37.600936893068
"Pfdn2",27.0165865418855,25.0432314418171,23.2217256489178,23.8979814041785,27.3227480483059,25.2583042948574,26.4334173452726,24.9714361991877,33.8663483173436,21.7739289730987,29.6008082220541
"Klhdc9",6.91961877912284,14.8191264856347,10.7421410905192,6.657396068582,9.05808228426057,7.46409335794454,9.17836558829553,7.07419548689571,10.4265290204362,8.42605858245223,11.4176057033396
"Nectin4",0.128348019043843,0,0.0788240893534041,0.232855922220416,0.108687749183402,0.0708471628529387,0.0686699339563096,0.0899761188144087,0.745023467509454,0.24199757787545,0.478915706048705
"Arhgap30",349.836936638064,397.761949729188,328.814070183733,307.994713587646,366.197516479166,279.659259414493,220.689628931128,278.276386693873,284.698789705364,264.38051149553,274.289336341582
"Usf1",165.963753470239,142.144789123761,133.905316032478,166.601612944965,176.419789048078,149.982448461087,132.663939459528,164.670086873864,159.903159398255,131.466144488687,147.209410810971
"Tstd1",8.70344915480095,10.8177432806882,5.25139105302895,8.99063133488685,5.97378986058671,5.30994941031479,4.00304138975561,10.1154785837941,9.67876537129095,15.1146360253066,7.91221195438877
"F11r",0.137842560416618,0.278522691226113,0.143657138230741,0.217012813772767,0.2525567779983,0.174310873915022,0.109507264735086,0.110687678027257,0.611013372444859,1.00415655021597,1.03472032055035
"Alyref2",60.7532201017763,91.0582953301609,83.2410453946789,69.5258595160722,48.3331773862717,44.0666013723149,58.8792088871264,69.82514357954,69.5101627934783,62.0473533891746,72.0685432017392
"Itln1",0,0,0,0,0,0,0,0,0.0642074612422985,0,0
"Cd244a",1.5298265061036,1.09986478072749,1.52880127410319,0.426062681595689,0.596606606764926,0.471856623265903,0.544471229328786,0.349019205196533,2.75909509805594,1.17655472432508,1.16461079353768
"Ly9",130.937250917884,128.969628624474,136.32647301959,139.18430715783,116.959519225582,121.614112113535,119.260720718448,95.9378089565376,181.297635965419,173.023327351828,164.223130211388
"Slamf7",24.0516461800522,27.9988958025626,23.2522085905828,23.9152264772579,17.6387790500956,15.1693207992882,22.391308615764,13.7308101250874,51.5298570371767,52.540237540621,45.0461079531258
"Cd48",89.4189410833467,155.569630844802,158.30589368894,108.677022827266,97.7600725171172,86.1041374631916,106.986280331157,80.7436015389018,114.579161819536,128.559447518998,83.7253627015026
"Slamf1",0.0199192835105752,0.110683697351572,0.0570887174051315,0.034495976604704,0.0354229260654108,0.0461802517862247,0.0248672613031051,0.0586490644688435,1.44069662253135,0.150229614714255,0.0671336036772264
"Cd84",35.9801664343886,54.7474037673998,47.5583232067577,37.2417126486417,39.9212646225461,27.2091318555898,30.7169938006323,32.5655990221873,41.4768474231886,40.6951483858336,48.3305539091184
"Slamf6",19.7971337669452,32.1662745994685,22.7527110436802,25.2616402453717,21.0681581572807,17.4677916219642,27.4700920738676,19.7565915812702,69.3089548155215,67.2910085174821,80.97367638105
"Vangl2",0.0123414764017313,0,0.0176853514406401,0,0.0146314233937998,0.0667615615023145,0,0.0121124846139098,0.361059217290374,0.0581740064801038,0.0519928204938825
"Nhlh1",0,0,0.184052209142746,0,0,0,0,0.0630275728158486,0.365318209172565,0,0
"Ncstn",100.510567036738,122.975140738182,106.525005697704,104.328125985594,95.7498724439275,80.1881985414916,84.5263889440165,83.8874649302686,86.674067215488,107.045114790175,101.61447035088
"Copa",92.8933149094837,130.297902745416,108.935490889057,99.6419563202256,95.2166069224211,82.8184857454426,84.0077489623795,70.5017891136277,96.0255172980472,111.026444794995,86.1822526538108
"Pex19",65.6189672708271,64.7372966624778,57.597134668372,57.1005523875919,57.6439020517618,63.0910025660711,55.8300171543341,58.7611775844834,47.2121042415171,50.1394289248862,52.9408953481661
"Dcaf8",28.5802907491994,30.0512957793208,25.5748900352926,27.15300948667,26.3783625440351,21.8079274232943,21.1983317852332,22.8033789367607,26.1898850922705,29.4538245856019,31.6697269162271
"Pea15a",111.755700104521,142.900880142973,90.2992247192316,121.563114085641,118.84358769001,124.655010047409,114.302241959628,104.396227168608,144.900669220711,127.443343723575,125.417053733755
"Casq1",0.102016685383935,0,0.0487300134682699,0.0392602830811364,0.120945766008598,0,0,0.0333746004624874,0.0829048670612024,0.0961751920665054,0.143260418172868
"Atp1a4",0.00971879774516029,0,0,0,0,0,0,0,0.0157961539727522,0,0
"Atp1a2",0.0128701426203363,0,0,0,0,0,0,0,0,0,0
"Igsf8",3.84659397733794,3.09275650160808,3.19873132256344,3.97670490759596,3.44097260606066,3.70224843389165,2.96129085825578,3.71802143861193,4.57055083373569,4.94500545109221,6.24634228917368
"Kcnj9",0,0.106874159798135,0.275619122446128,0.0444115812808274,0.091209950550825,0,0.0960454961965471,0,0.187565445437853,0.253853208816956,0.12964596700153
"Kcnj10",0.196036747144729,0.573315696009221,0.428774018920604,0.464570860981844,0.0733929928176032,0.119601458156044,0.12880660443198,0.111389099517777,1.40026159074733,0.612796518984403,0.347736384298421
"Pigm",106.153263452918,178.402881622046,141.50040557014,118.927629950565,139.584767001305,80.0908699892713,58.9733586910995,108.590717501615,115.642357209275,162.896890708778,164.014119141497
"Slamf9",0.105408787725788,0,0,0.608485586908539,0,0.162917652303215,0.263184955084261,0,9.50842567141495,1.39122286845737,0.710514690503101
"Igsf9",0.0396940470307863,0.110282176712885,0.113763240148848,0.0458277834807016,0.0235296162880222,0,0,0.0389575378401863,0.758057345970945,0.149684635712892,0.100335100668728
"Tagln2",255.953520621948,457.20171006731,274.324095896927,226.99512506063,308.435203146926,257.952645888429,165.598098166252,255.652898050474,239.087112411539,210.296027160446,186.66535575141
"Cfap45",0,0.0379593322229813,0,0,0,0,0,0.0134092576474529,0.11103181333971,0.0257608662843783,0
"4933439K11Rik",0,0,0,0,0,0.0206828548647525,0,0,0.260999226427488,0.0756941408287354,0.0676513809976816
"Vsig8",0,0,0,0,0,0,0,0,0.0354317073237144,0,0
"Slamf8",0.34648159234074,0.53479533600043,0.496508564194067,0.355574916567324,0.182564826684184,0.23800658500136,0.288365401927529,0.113350915768918,7.82143578987907,8.20234344323863,4.41146483471372
"Fcrl6",7.00221123959277,6.37845239323152,13.8175561032363,6.36136160380647,10.3428071304138,5.85478076774539,8.88487470365337,5.52036221355408,0.839569592827913,3.4629578463202,1.49914391910339
"Dusp23",12.9573716360769,14.1426736045014,16.3574622290147,15.8500672179881,7.31504632976057,12.7550667455564,13.4800006780993,11.3544215420639,12.786350915783,16.1418185593204,8.5780351345255
"Crp",0,0,0,0,0,0,0,0,0,0,0
"Apcs",0.313788602129125,0,0,0,0,0.242492601809318,0,0.307966364119623,0.255003407010637,2.66238910507879,0
"Or10j5",0,0,0,0,0,0,0,0,0,0,0
"Or10j27",0,0,0,0,0,0,0,0,0,0,0
"Or10j7",0,0,0,0,0,0,0,0,0,0,0
"Or10j3",0,0,0,0,0,0,0,0,0,0,0
"Or10j3b",0,0,0,0,0,0,0,0,0,0,0
"Fcer1a",0,0,0,0.198088681706796,0,0,0,0,1.53376100797343,1.99493390726384,0.337317777741377
"Or10j2",0,0,0,0,0,0,0,0,0,0,0
"Mptx2",0,0,0,0,0,0,0,0,0,0,0
"Ackr1",0.570412800843471,0.528260280885626,0,0.439037358446565,0.450834834056712,0,0.47473609050513,0,1.69968918876877,1.97175316694643,0.480613006033978
"Cadm3",0.0787979508453649,0.0273655944334734,0.0564587820832792,0.147833126445972,0.0583867634558609,0.0685060259888164,0.184446509407011,0.0386679411827995,0.296166190551264,0.250715136412409,0.232374904440921
"Aim2",11.6257448222899,19.1982488687284,20.082819035083,13.8915016016981,15.5358681303966,8.72249017726426,8.6485882678515,10.8521065551864,14.2614268003846,17.3633668890166,19.8019692157103
"Ifi214",17.0636584115876,28.723359943629,20.830798073075,23.7032055434303,16.0204176325439,13.9290730685129,12.906531211233,10.7000724018317,22.5571325459285,28.5108724661903,19.1815123660988
"Ifi213",3.31062573370242,4.88461428007071,4.81779753216354,5.68582123147269,3.20574832475656,2.18498388102768,1.60442149888828,1.66496182517569,2.54837228141495,4.45865531843235,2.59885306366579
"Ifi209",118.119754115506,192.892881478371,169.8943618811,159.461610011036,128.619160606366,97.6301556662364,89.2631101300168,77.728957944044,184.544835436287,209.610557805621,141.087848499437
"Ifi208",12.4727066187266,14.4482744742075,13.6459215944387,19.5010658758532,8.88196233567852,7.32716885506688,8.5306163658358,5.21163401684203,11.8867422861162,13.1296974768597,8.48592403798698
"Ifi207",0.351776873485623,0.15431739661044,0.981662011942673,0.470261946517952,0.175599441942509,0.200310192444857,0.392931503543463,0.0726841634437667,5.80777531956227,6.05668534613462,4.47715197484571
"Ifi204",1.03568921347998,1.72647642764228,2.37463034437002,2.21209948269866,0.920895132005314,0.720332967178116,1.03436468632984,0.914825125394069,10.8293981608773,16.7612838547537,12.5224010988471
"Mndal",187.441042441271,333.211068077539,287.553038144722,224.409032245677,232.490679961421,125.338527736755,108.066414519731,154.871635344737,186.648601883224,271.184755379048,205.785384674948
"Ifi211",3.6759784266068,9.64873633864763,8.03248713204968,6.07292077878057,2.55222938748235,3.829530512731,3.87918109734033,3.02973112329203,27.9256670817638,36.3206459309834,29.5353027256562
"Ifi203",233.860743133846,405.984799417533,325.757382476012,273.111286937338,303.188835377012,180.736947958222,126.567720498607,161.910542772503,223.909231130383,301.901923058914,214.616536995485
"Ifi202b",0,0,0,0,0,0,0,0.0164995608669927,3.8526911136411,0,0
"Ifi205",1.48947038128692,2.37827774970968,2.33068081627564,1.71963131100223,1.09603857501861,1.57442112775193,0.79080350936412,1.54584721366904,15.930408923958,14.7358519626554,9.72251835097077
"Or10aa1",0,0,0,0,0.16714242393125,0,0,0.276734530019378,0.916570849471316,0.265820875828039,0.237576503952512
"Or10aa3",0,0,0,0,0,0,0,0,0.880698667662933,0,0
"Or6n2",0,0,0,0,0,0,0,0,0,0,0
"Or6n1",0,0,0,0,0,0,0,0,0,0,0
"Or6k14",0,0,0,0,0,0,0,0,0,0,0
"Or6k6",0,0,0,0,0,0,0,0,0,0,0
