"","term","gene"
"168","GOBP_DNA_DAMAGE_RESPONSE","Cxcl12"
"169","GOBP_DNA_DAMAGE_RESPONSE","Cyren"
"170","GOBP_DNA_DAMAGE_RESPONSE","D7Ertd443e"
"171","GOBP_DNA_DAMAGE_RESPONSE","Dclre1a"
"172","GOBP_DNA_DAMAGE_RESPONSE","Dclre1b"
"173","GOBP_DNA_DAMAGE_RESPONSE","Dclre1c"
"174","GOBP_DNA_DAMAGE_RESPONSE","Dcun1d5"
"175","GOBP_DNA_DAMAGE_RESPONSE","Ddb1"
"176","GOBP_DNA_DAMAGE_RESPONSE","Ddb2"
"177","GOBP_DNA_DAMAGE_RESPONSE","Ddias"
"178","GOBP_DNA_DAMAGE_RESPONSE","Ddit4"
"179","GOBP_DNA_DAMAGE_RESPONSE","Ddx1"
"180","GOBP_DNA_DAMAGE_RESPONSE","Ddx11"
"181","GOBP_DNA_DAMAGE_RESPONSE","Ddx39b"
"182","GOBP_DNA_DAMAGE_RESPONSE","Ddx5"
"183","GOBP_DNA_DAMAGE_RESPONSE","Dek"
"184","GOBP_DNA_DAMAGE_RESPONSE","Dgkz"
"185","GOBP_DNA_DAMAGE_RESPONSE","Dhx9"
"186","GOBP_DNA_DAMAGE_RESPONSE","Dmap1"
"187","GOBP_DNA_DAMAGE_RESPONSE","Dmc1"
"188","GOBP_DNA_DAMAGE_RESPONSE","Dna2"
"189","GOBP_DNA_DAMAGE_RESPONSE","Dntt"
"190","GOBP_DNA_DAMAGE_RESPONSE","Donson"
"191","GOBP_DNA_DAMAGE_RESPONSE","Dot1l"
"192","GOBP_DNA_DAMAGE_RESPONSE","Dpf1"
"193","GOBP_DNA_DAMAGE_RESPONSE","Dpf2"
"194","GOBP_DNA_DAMAGE_RESPONSE","Dpf3"
"195","GOBP_DNA_DAMAGE_RESPONSE","Dtl"
"196","GOBP_DNA_DAMAGE_RESPONSE","Dtx3l"
"197","GOBP_DNA_DAMAGE_RESPONSE","Dyrk1a"
"198","GOBP_DNA_DAMAGE_RESPONSE","Dyrk1b"
"199","GOBP_DNA_DAMAGE_RESPONSE","Dyrk2"
"200","GOBP_DNA_DAMAGE_RESPONSE","Dyrk3"
"201","GOBP_DNA_DAMAGE_RESPONSE","E2f1"
"202","GOBP_DNA_DAMAGE_RESPONSE","E2f7"
"203","GOBP_DNA_DAMAGE_RESPONSE","Eef1e1"
"204","GOBP_DNA_DAMAGE_RESPONSE","Eepd1"
"205","GOBP_DNA_DAMAGE_RESPONSE","Egfr"
"206","GOBP_DNA_DAMAGE_RESPONSE","Egln3"
"207","GOBP_DNA_DAMAGE_RESPONSE","Ei24"
"208","GOBP_DNA_DAMAGE_RESPONSE","Eid3"
"209","GOBP_DNA_DAMAGE_RESPONSE","Eif2ak4"
"210","GOBP_DNA_DAMAGE_RESPONSE","Ell3"
"211","GOBP_DNA_DAMAGE_RESPONSE","Eme1"
"212","GOBP_DNA_DAMAGE_RESPONSE","Eme2"
"213","GOBP_DNA_DAMAGE_RESPONSE","Emsy"
"214","GOBP_DNA_DAMAGE_RESPONSE","Endog"
"215","GOBP_DNA_DAMAGE_RESPONSE","Endov"
"216","GOBP_DNA_DAMAGE_RESPONSE","Eny2"
"217","GOBP_DNA_DAMAGE_RESPONSE","Ep300"
"218","GOBP_DNA_DAMAGE_RESPONSE","Ep400"
"219","GOBP_DNA_DAMAGE_RESPONSE","Epc1"
"220","GOBP_DNA_DAMAGE_RESPONSE","Epc2"
"221","GOBP_DNA_DAMAGE_RESPONSE","Epha2"
"222","GOBP_DNA_DAMAGE_RESPONSE","Ercc1"
"223","GOBP_DNA_DAMAGE_RESPONSE","Ercc2"
"224","GOBP_DNA_DAMAGE_RESPONSE","Ercc3"
"225","GOBP_DNA_DAMAGE_RESPONSE","Ercc4"
"226","GOBP_DNA_DAMAGE_RESPONSE","Ercc5"
"227","GOBP_DNA_DAMAGE_RESPONSE","Ercc6"
"228","GOBP_DNA_DAMAGE_RESPONSE","Ercc6l2"
"229","GOBP_DNA_DAMAGE_RESPONSE","Ercc8"
"230","GOBP_DNA_DAMAGE_RESPONSE","Esco2"
"231","GOBP_DNA_DAMAGE_RESPONSE","Etaa1"
"232","GOBP_DNA_DAMAGE_RESPONSE","Exd2"
"233","GOBP_DNA_DAMAGE_RESPONSE","Exo1"
"234","GOBP_DNA_DAMAGE_RESPONSE","Exo5"
"235","GOBP_DNA_DAMAGE_RESPONSE","Eya1"
"236","GOBP_DNA_DAMAGE_RESPONSE","Eya2"
"237","GOBP_DNA_DAMAGE_RESPONSE","Eya3"
"238","GOBP_DNA_DAMAGE_RESPONSE","Eya4"
"239","GOBP_DNA_DAMAGE_RESPONSE","Faap100"
"240","GOBP_DNA_DAMAGE_RESPONSE","Faap20"
"241","GOBP_DNA_DAMAGE_RESPONSE","Faap24"
"242","GOBP_DNA_DAMAGE_RESPONSE","Fam111a"
"243","GOBP_DNA_DAMAGE_RESPONSE","Fam168a"
"244","GOBP_DNA_DAMAGE_RESPONSE","Fan1"
"245","GOBP_DNA_DAMAGE_RESPONSE","Fanca"
"246","GOBP_DNA_DAMAGE_RESPONSE","Fancb"
"247","GOBP_DNA_DAMAGE_RESPONSE","Fancc"
"248","GOBP_DNA_DAMAGE_RESPONSE","Fancd2"
"249","GOBP_DNA_DAMAGE_RESPONSE","Fancf"
"250","GOBP_DNA_DAMAGE_RESPONSE","Fancg"
"251","GOBP_DNA_DAMAGE_RESPONSE","Fanci"
"252","GOBP_DNA_DAMAGE_RESPONSE","Fancl"
"253","GOBP_DNA_DAMAGE_RESPONSE","Fancm"
"254","GOBP_DNA_DAMAGE_RESPONSE","Fbh1"
"255","GOBP_DNA_DAMAGE_RESPONSE","Fbxo31"
"256","GOBP_DNA_DAMAGE_RESPONSE","Fbxo4"
"257","GOBP_DNA_DAMAGE_RESPONSE","Fbxo45"
"258","GOBP_DNA_DAMAGE_RESPONSE","Fbxo5"
"259","GOBP_DNA_DAMAGE_RESPONSE","Fbxo6"
"260","GOBP_DNA_DAMAGE_RESPONSE","Fbxw7"
"261","GOBP_DNA_DAMAGE_RESPONSE","Fem1b"
"262","GOBP_DNA_DAMAGE_RESPONSE","Fen1"
"263","GOBP_DNA_DAMAGE_RESPONSE","Fgf10"
"264","GOBP_DNA_DAMAGE_RESPONSE","Fh1"
"265","GOBP_DNA_DAMAGE_RESPONSE","Fignl1"
"266","GOBP_DNA_DAMAGE_RESPONSE","Flywch1"
"267","GOBP_DNA_DAMAGE_RESPONSE","Fmn2"
"268","GOBP_DNA_DAMAGE_RESPONSE","Fmr1"
"269","GOBP_DNA_DAMAGE_RESPONSE","Fnip2"
"270","GOBP_DNA_DAMAGE_RESPONSE","Foxm1"
"271","GOBP_DNA_DAMAGE_RESPONSE","Foxn3"
"272","GOBP_DNA_DAMAGE_RESPONSE","Foxo1"
"273","GOBP_DNA_DAMAGE_RESPONSE","Foxo3"
"274","GOBP_DNA_DAMAGE_RESPONSE","Foxo4"
"275","GOBP_DNA_DAMAGE_RESPONSE","Foxp1"
"276","GOBP_DNA_DAMAGE_RESPONSE","Fto"
"277","GOBP_DNA_DAMAGE_RESPONSE","Fus"
"278","GOBP_DNA_DAMAGE_RESPONSE","Fzr1"
"279","GOBP_DNA_DAMAGE_RESPONSE","Gadd45a"
"280","GOBP_DNA_DAMAGE_RESPONSE","Gen1"
"281","GOBP_DNA_DAMAGE_RESPONSE","Ggn"
"282","GOBP_DNA_DAMAGE_RESPONSE","Gigyf2"
"283","GOBP_DNA_DAMAGE_RESPONSE","Gins2"
"284","GOBP_DNA_DAMAGE_RESPONSE","Gins4"
"285","GOBP_DNA_DAMAGE_RESPONSE","Gm32717"
"286","GOBP_DNA_DAMAGE_RESPONSE","Gm32802"
"287","GOBP_DNA_DAMAGE_RESPONSE","Gm9040"
"288","GOBP_DNA_DAMAGE_RESPONSE","Gm9044"
"289","GOBP_DNA_DAMAGE_RESPONSE","Gm9045"
"290","GOBP_DNA_DAMAGE_RESPONSE","Gm9046"
"291","GOBP_DNA_DAMAGE_RESPONSE","Gm9048"
